"","Survived","Pclass","Sex","Age","Fare","Embarked","Titol","Isalone","Fare_disc"
"73","0",2,0,2,73.5,"0","1",0,"Q4"
"74","0",3,0,2,14.4542,"1","1",1,"Q2"
"75","1",3,0,3,56.4958,"0","1",0,"Q4"
"76","0",3,0,2,7.65,"0","1",0,"Q1"
"77","0",3,0,2,7.8958,"0","1",0,"Q1"
"78","0",3,0,2,8.05,"0","1",0,"Q2"
"79","1",2,0,1,29,"0","4",1,"Q3"
"80","1",3,1,2,12.475,"0","2",0,"Q2"
"81","0",3,0,2,9,"0","1",0,"Q2"
"82","1",3,0,2,9.5,"0","1",0,"Q2"
"83","1",3,1,2,7.7875,"2","2",0,"Q1"
"84","0",1,0,2,47.1,"0","1",0,"Q4"
"85","1",2,1,2,10.5,"0","2",0,"Q2"
"86","1",3,1,3,15.85,"0","1",1,"Q3"
"87","0",3,0,2,34.375,"0","1",1,"Q4"
"88","0",3,0,2,8.05,"0","1",0,"Q2"
"89","1",1,1,2,263,"0","2",1,"Q4"
"90","0",3,0,2,8.05,"0","1",0,"Q2"
"91","0",3,0,2,8.05,"0","1",0,"Q2"
"92","0",3,0,2,7.8542,"0","1",0,"Q1"
"93","0",1,0,3,61.175,"0","1",1,"Q4"
"94","0",3,0,2,20.575,"0","1",1,"Q3"
"95","0",3,0,4,7.25,"0","1",0,"Q1"
"96","0",3,0,2,8.05,"0","1",0,"Q2"
"97","0",1,0,5,34.6542,"1","1",0,"Q4"
"98","1",1,0,2,63.3583,"1","1",1,"Q4"
"99","1",2,1,3,23,"0","1",1,"Q3"
"100","0",2,0,3,26,"0","1",1,"Q3"
"101","0",3,1,2,7.8958,"0","2",0,"Q1"
"102","0",3,0,2,7.8958,"0","1",0,"Q1"
"103","0",1,0,2,77.2875,"0","1",1,"Q4"
"104","0",3,0,3,8.6542,"0","1",0,"Q2"
"105","0",3,0,3,7.925,"0","1",1,"Q2"
"106","0",3,0,2,7.8958,"0","1",0,"Q1"
"107","1",3,1,2,7.65,"0","2",0,"Q1"
"108","1",3,0,2,7.775,"0","1",0,"Q1"
"109","0",3,0,3,7.8958,"0","1",0,"Q1"
"110","1",3,1,2,24.15,"2","2",1,"Q3"
"111","0",1,0,3,52,"0","1",0,"Q4"
"112","0",3,1,1,14.4542,"1","2",1,"Q2"
"113","0",3,0,2,8.05,"0","1",0,"Q2"
"114","0",3,1,2,9.825,"0","2",1,"Q2"
"115","0",3,1,2,14.4583,"1","2",0,"Q3"
"116","0",3,0,2,7.925,"0","1",0,"Q2"
"117","0",3,0,5,7.75,"2","1",0,"Q1"
"118","0",2,0,2,21,"0","1",1,"Q3"
"119","0",1,0,2,247.5208,"1","1",1,"Q4"
"120","0",3,1,1,31.275,"0","2",1,"Q4"
"121","0",2,0,2,73.5,"0","1",1,"Q4"
"122","0",3,0,2,8.05,"0","1",0,"Q2"
"123","0",2,0,3,30.0708,"1","1",1,"Q3"
"124","1",2,1,3,13,"0","2",0,"Q2"
"125","0",1,0,4,77.2875,"0","1",1,"Q4"
"126","1",3,0,1,11.2417,"1","4",1,"Q2"
"127","0",3,0,2,7.75,"2","1",0,"Q1"
"128","1",3,0,2,7.1417,"0","1",0,"Q1"
"129","1",3,1,2,22.3583,"1","2",1,"Q3"
"130","0",3,0,3,6.975,"0","1",0,"Q1"
"131","0",3,0,3,7.8958,"1","5",0,"Q1"
"132","0",3,0,2,7.05,"0","1",0,"Q1"
"133","0",3,1,3,14.5,"0","1",1,"Q3"
"134","1",2,1,2,26,"0","1",1,"Q3"
"135","0",2,0,2,13,"0","1",0,"Q2"
"136","0",2,0,2,15.0458,"1","1",0,"Q3"
"137","1",1,1,2,26.2833,"0","2",1,"Q3"
"138","0",1,0,3,53.1,"0","1",1,"Q4"
"139","0",3,0,2,9.2167,"0","1",0,"Q2"
"140","0",1,0,2,79.2,"1","1",0,"Q4"
"141","0",3,1,2,15.2458,"1","1",1,"Q3"
"142","1",3,1,2,7.75,"0","2",0,"Q1"
"143","1",3,1,2,15.85,"0","1",1,"Q3"
"144","0",3,0,2,6.75,"2","1",0,"Q1"
"145","0",2,0,2,11.5,"0","1",0,"Q2"
"146","0",2,0,2,36.75,"0","1",1,"Q4"
"147","1",3,0,2,7.7958,"0","1",0,"Q1"
"148","0",3,1,1,34.375,"0","2",1,"Q4"
"149","0",2,0,3,26,"0","1",1,"Q3"
"150","0",2,0,3,13,"0","5",0,"Q2"
"151","0",2,0,4,12.525,"0","5",0,"Q2"
"152","1",1,1,2,66.6,"0","1",1,"Q4"
"153","0",3,0,4,8.05,"0","1",0,"Q2"
"154","0",3,0,3,14.5,"0","1",1,"Q3"
"155","0",3,0,2,7.3125,"0","1",0,"Q1"
"156","0",1,0,4,61.3792,"1","1",1,"Q4"
"157","1",3,1,2,7.7333,"2","2",0,"Q1"
"158","0",3,0,2,8.05,"0","1",0,"Q2"
"159","0",3,0,2,8.6625,"0","1",0,"Q2"
"160","0",3,0,2,69.55,"0","4",1,"Q4"
"161","0",3,0,3,16.1,"0","1",1,"Q3"
"162","1",2,1,3,15.75,"0","1",0,"Q3"
"163","0",3,0,2,7.775,"0","1",0,"Q1"
"164","0",3,0,2,8.6625,"0","1",0,"Q2"
"165","0",3,0,1,39.6875,"0","4",1,"Q4"
"166","1",3,0,1,20.525,"0","4",1,"Q3"
"167","1",1,1,3,55,"0","1",1,"Q4"
"168","0",3,1,3,27.9,"0","1",1,"Q3"
"169","0",1,0,3,25.925,"0","1",0,"Q3"
"170","0",3,0,2,56.4958,"0","1",0,"Q4"
"171","0",1,0,4,33.5,"0","1",0,"Q4"
"172","0",3,0,1,29.125,"2","4",1,"Q3"
"173","1",3,1,1,11.1333,"0","2",1,"Q2"
"174","0",3,0,2,7.925,"0","1",0,"Q2"
"175","0",1,0,4,30.6958,"1","1",0,"Q3"
"176","0",3,0,2,7.8542,"0","1",1,"Q1"
"177","0",3,0,2,25.4667,"0","4",1,"Q3"
"178","0",1,1,4,28.7125,"1","2",0,"Q3"
"179","0",2,0,2,13,"0","1",0,"Q2"
"180","0",3,0,3,0,"0","1",0,"Q1"
"181","0",3,1,2,69.55,"0","2",1,"Q4"
"182","0",2,0,2,15.05,"1","1",0,"Q3"
"183","0",3,0,1,31.3875,"0","4",1,"Q4"
"184","1",2,0,1,39,"0","4",1,"Q4"
"185","1",3,1,1,22.025,"0","2",1,"Q3"
"186","0",1,0,3,50,"0","1",0,"Q4"
"187","1",3,1,2,15.5,"2","1",1,"Q3"
"188","1",1,0,3,26.55,"0","1",0,"Q3"
"189","0",3,0,3,15.5,"2","1",1,"Q3"
"190","0",3,0,3,7.8958,"0","1",0,"Q1"
"191","1",2,1,3,13,"0","1",0,"Q2"
"192","0",2,0,2,13,"0","1",0,"Q2"
"193","1",3,1,2,7.8542,"0","2",1,"Q1"
"194","1",2,0,1,26,"0","4",1,"Q3"
"195","1",1,1,3,27.7208,"1","1",0,"Q3"
"196","1",1,1,4,146.5208,"1","2",0,"Q4"
"197","0",3,0,2,7.75,"2","1",0,"Q1"
"198","0",3,0,3,8.4042,"0","1",1,"Q2"
"199","1",3,1,2,7.75,"2","2",0,"Q1"
"200","0",2,1,2,13,"0","2",0,"Q2"
"201","0",3,0,2,9.5,"0","1",0,"Q2"
"202","0",3,0,2,69.55,"0","1",1,"Q4"
"203","0",3,0,3,6.4958,"0","1",0,"Q1"
"204","0",3,0,3,7.225,"1","1",0,"Q1"
"205","1",3,0,2,8.05,"0","1",0,"Q2"
"206","0",3,1,1,10.4625,"0","2",1,"Q2"
"207","0",3,0,3,15.85,"0","1",1,"Q3"
"208","1",3,0,2,18.7875,"1","1",0,"Q3"
"209","1",3,1,2,7.75,"2","2",0,"Q1"
"210","1",1,0,3,31,"1","1",0,"Q3"
"211","0",3,0,2,7.05,"0","1",0,"Q1"
"212","1",2,1,3,21,"0","2",0,"Q3"
"213","0",3,0,2,7.25,"0","1",0,"Q1"
"214","0",2,0,2,13,"0","1",0,"Q2"
"215","0",3,0,2,7.75,"2","1",1,"Q1"
"216","1",1,1,2,113.275,"1","2",1,"Q4"
"217","1",3,1,2,7.925,"0","2",0,"Q2"
"218","0",2,0,3,27,"0","1",1,"Q3"
"219","1",1,1,3,76.2917,"1","2",0,"Q4"
"220","0",2,0,2,10.5,"0","1",0,"Q2"
"221","1",3,0,2,8.05,"0","1",0,"Q2"
"222","0",2,0,2,13,"0","1",0,"Q2"
"223","0",3,0,4,8.05,"0","1",0,"Q2"
"224","0",3,0,2,7.8958,"0","1",0,"Q1"
"225","1",1,0,3,90,"0","1",1,"Q4"
"226","0",3,0,2,9.35,"0","1",0,"Q2"
"227","1",2,0,2,10.5,"0","1",0,"Q2"
"228","0",3,0,2,7.25,"0","1",0,"Q1"
"229","0",2,0,2,13,"0","1",0,"Q2"
"230","0",3,1,2,25.4667,"0","2",1,"Q3"
"231","1",1,1,3,83.475,"0","1",1,"Q4"
"232","0",3,0,2,7.775,"0","1",0,"Q1"
"233","0",2,0,4,13.5,"0","1",0,"Q2"
"234","1",3,1,1,31.3875,"0","2",1,"Q4"
"235","0",2,0,2,10.5,"0","1",0,"Q2"
"236","0",3,1,2,7.55,"0","2",0,"Q1"
"237","0",2,0,3,26,"0","1",1,"Q3"
"238","1",2,1,1,26.25,"0","5",1,"Q3"
"239","0",2,0,2,10.5,"0","1",0,"Q2"
"240","0",2,0,3,12.275,"0","1",0,"Q2"
"241","0",3,1,2,14.4542,"1","2",1,"Q2"
"242","1",3,1,2,15.5,"2","2",1,"Q3"
"243","0",2,0,2,10.5,"0","5",0,"Q2"
"244","0",3,0,2,7.125,"0","1",0,"Q1"
"245","0",3,0,2,7.225,"1","1",0,"Q1"
"246","0",1,0,3,90,"2","5",1,"Q4"
"247","0",3,1,2,7.775,"0","2",0,"Q1"
"248","1",2,1,2,14.5,"0","1",1,"Q3"
"249","1",1,0,3,52.5542,"0","1",1,"Q4"
"250","0",2,0,4,26,"0","5",1,"Q3"
"251","0",3,0,2,7.25,"0","1",0,"Q1"
"252","0",3,1,2,10.4625,"0","1",1,"Q2"
"253","0",1,0,4,26.55,"0","1",0,"Q3"
"254","0",3,0,2,16.1,"0","1",1,"Q3"
"255","0",3,1,3,20.2125,"0","1",1,"Q3"
"256","1",3,1,2,15.2458,"1","1",1,"Q3"
"257","1",1,1,3,79.2,"1","1",0,"Q4"
"258","1",1,1,2,86.5,"0","2",0,"Q4"
"259","1",1,1,3,512.3292,"1","2",0,"Q4"
"260","1",2,1,4,26,"0","1",1,"Q3"
"261","0",3,0,2,7.75,"2","1",0,"Q1"
"262","1",3,0,1,31.3875,"0","4",1,"Q4"
"263","0",1,0,4,79.65,"0","1",1,"Q4"
"264","0",1,0,3,0,"0","1",0,"Q1"
"265","0",3,1,2,7.75,"2","2",0,"Q1"
"266","0",2,0,3,10.5,"0","1",0,"Q2"
"267","0",3,0,2,39.6875,"0","1",1,"Q4"
"268","1",3,0,2,7.775,"0","1",1,"Q1"
"269","1",1,1,4,153.4625,"0","1",1,"Q4"
"270","1",1,1,3,135.6333,"0","2",0,"Q4"
"271","0",1,0,3,31,"0","1",0,"Q3"
"272","1",3,0,2,0,"0","1",0,"Q1"
"273","1",2,1,3,19.5,"0","1",1,"Q3"
"274","0",1,0,3,29.7,"1","1",1,"Q3"
"275","1",3,1,2,7.75,"2","2",0,"Q1"
"276","1",1,1,4,77.9583,"0","2",1,"Q4"
"277","0",3,1,3,7.75,"0","2",0,"Q1"
"278","0",2,0,2,0,"0","1",0,"Q1"
"279","0",3,0,1,29.125,"2","4",1,"Q3"
"280","1",3,1,3,20.25,"0","1",1,"Q3"
"281","0",3,0,5,7.75,"2","1",0,"Q1"
"282","0",3,0,2,7.8542,"0","1",0,"Q1"
"283","0",3,0,2,9.5,"0","1",0,"Q2"
"284","1",3,0,2,8.05,"0","1",0,"Q2"
"285","0",1,0,3,26,"0","1",0,"Q3"
"286","0",3,0,3,8.6625,"1","1",0,"Q2"
"287","1",3,0,2,9.5,"0","1",0,"Q2"
"288","0",3,0,2,7.8958,"0","1",0,"Q1"
"289","1",2,0,3,13,"0","1",0,"Q2"
"290","1",3,1,2,7.75,"2","2",0,"Q1"
"291","1",1,1,2,78.85,"0","2",0,"Q4"
"292","1",1,1,2,91.0792,"1","1",1,"Q4"
"293","0",2,0,3,12.875,"1","1",0,"Q2"
"294","0",3,1,2,8.85,"0","2",0,"Q2"
"295","0",3,0,2,7.8958,"0","1",0,"Q1"
"296","0",1,0,3,27.7208,"1","1",0,"Q3"
"297","0",3,0,2,7.2292,"1","1",0,"Q1"
"298","0",1,1,1,151.55,"0","2",1,"Q4"
"299","1",1,0,3,30.5,"0","1",0,"Q3"
"300","1",1,1,4,247.5208,"1","1",1,"Q4"
"301","1",3,1,2,7.75,"2","2",0,"Q1"
"302","1",3,0,2,23.25,"2","1",1,"Q3"
"303","0",3,0,2,0,"0","1",0,"Q1"
"304","1",2,1,2,12.35,"2","2",0,"Q2"
"305","0",3,0,2,8.05,"0","1",0,"Q2"
"306","1",1,0,1,151.55,"0","4",1,"Q4"
"307","1",1,1,3,110.8833,"1","2",0,"Q4"
"308","1",1,1,2,108.9,"1","1",1,"Q4"
"309","0",2,0,2,24,"1","1",1,"Q3"
"310","1",1,1,2,56.9292,"1","2",0,"Q4"
"311","1",1,1,2,83.1583,"1","2",0,"Q4"
"312","1",1,1,2,262.375,"1","2",1,"Q4"
"313","0",2,1,2,26,"0","1",1,"Q3"
"314","0",3,0,2,7.8958,"0","1",0,"Q1"
"315","0",2,0,3,26.25,"0","1",1,"Q3"
"316","1",3,1,2,7.8542,"0","2",0,"Q1"
"317","1",2,1,2,26,"0","1",1,"Q3"
"318","0",2,0,4,14,"0","5",0,"Q2"
"319","1",1,1,2,164.8667,"0","2",1,"Q4"
"320","1",1,1,3,134.5,"1","1",1,"Q4"
"321","0",3,0,2,7.25,"0","1",0,"Q1"
"322","0",3,0,2,7.8958,"0","1",0,"Q1"
"323","1",2,1,2,12.35,"2","2",0,"Q2"
"324","1",2,1,2,29,"0","1",1,"Q3"
"325","0",3,0,2,69.55,"0","1",1,"Q4"
"326","1",1,1,3,135.6333,"1","2",0,"Q4"
"327","0",3,0,4,6.2375,"0","1",0,"Q1"
"328","1",2,1,3,13,"0","1",0,"Q2"
"329","1",3,1,2,20.525,"0","1",1,"Q3"
"330","1",1,1,2,57.9792,"1","2",1,"Q4"
"331","1",3,1,2,23.25,"2","2",1,"Q3"
"332","0",1,0,3,28.5,"0","1",0,"Q3"
"333","0",1,0,3,153.4625,"0","1",1,"Q4"
"334","0",3,0,2,18,"0","1",1,"Q3"
"335","1",1,1,3,133.65,"0","1",1,"Q4"
"336","0",3,0,2,7.8958,"0","1",0,"Q1"
"337","0",1,0,2,66.6,"0","1",1,"Q4"
"338","1",1,1,3,134.5,"1","2",0,"Q4"
"339","1",3,0,3,8.05,"0","1",0,"Q2"
"340","0",1,0,3,35.5,"0","1",0,"Q4"
"341","1",2,0,1,26,"0","4",1,"Q3"
"342","1",1,1,2,263,"0","2",1,"Q4"
"343","0",2,0,2,13,"0","5",0,"Q2"
"344","0",2,0,2,13,"0","1",0,"Q2"
"345","0",2,0,3,13,"0","1",0,"Q2"
"346","1",2,1,2,13,"0","2",0,"Q2"
"347","1",2,1,3,13,"0","2",0,"Q2"
"348","1",3,1,2,16.1,"0","1",1,"Q3"
"349","1",3,0,1,15.9,"0","4",1,"Q3"
"350","0",3,0,3,8.6625,"0","1",0,"Q2"
"351","0",3,0,2,9.225,"0","1",0,"Q2"
"352","0",1,0,3,35,"0","1",0,"Q4"
"353","0",3,0,1,7.2292,"1","1",1,"Q1"
"354","0",3,0,2,17.8,"0","1",1,"Q3"
"355","0",3,0,2,7.225,"1","1",0,"Q1"
"356","0",3,0,2,9.5,"0","1",0,"Q2"
"357","1",1,1,2,55,"0","2",1,"Q4"
"358","0",2,1,3,13,"0","2",0,"Q2"
"359","1",3,1,2,7.8792,"2","2",0,"Q1"
"360","1",3,1,2,7.8792,"2","2",0,"Q1"
"361","0",3,0,3,27.9,"0","1",1,"Q3"
"362","0",2,0,2,27.7208,"1","1",1,"Q3"
"363","0",3,1,3,14.4542,"1","1",1,"Q2"
"364","0",3,0,3,7.05,"0","1",0,"Q1"
"365","0",3,0,2,15.5,"2","1",1,"Q3"
"366","0",3,0,2,7.25,"0","1",0,"Q1"
"367","1",1,1,4,75.25,"1","1",1,"Q4"
"368","1",3,1,2,7.2292,"1","1",0,"Q1"
"369","1",3,1,2,7.75,"2","2",0,"Q1"
"370","1",1,1,2,69.3,"1","3",0,"Q4"
"371","1",1,0,2,55.4417,"1","1",1,"Q4"
"372","0",3,0,2,6.4958,"0","1",1,"Q1"
"373","0",3,0,2,8.05,"0","1",0,"Q2"
"374","0",1,0,2,135.6333,"1","1",0,"Q4"
"375","0",3,1,1,21.075,"0","2",1,"Q3"
"376","1",1,1,3,82.1708,"1","1",1,"Q4"
"377","1",3,1,2,7.25,"0","2",0,"Q1"
"378","0",1,0,2,211.5,"1","1",1,"Q4"
"379","0",3,0,2,4.0125,"1","1",0,"Q1"
"380","0",3,0,2,7.775,"0","1",0,"Q1"
"381","1",1,1,3,227.525,"1","2",0,"Q4"
"382","1",3,1,1,15.7417,"1","2",1,"Q3"
"383","0",3,0,3,7.925,"0","1",0,"Q2"
"384","1",1,1,3,52,"0","1",1,"Q4"
"385","0",3,0,2,7.8958,"0","1",0,"Q1"
"386","0",2,0,2,73.5,"0","1",0,"Q4"
"387","0",3,0,1,46.9,"0","4",1,"Q4"
"388","1",2,1,3,13,"0","2",0,"Q2"
"389","0",3,0,2,7.7292,"2","1",0,"Q1"
"390","1",2,1,2,12,"1","2",0,"Q2"
"391","1",1,0,3,120,"0","1",1,"Q4"
"392","1",3,0,2,7.7958,"0","1",0,"Q1"
"393","0",3,0,2,7.925,"0","1",1,"Q2"
"394","1",1,1,2,113.275,"1","2",1,"Q4"
"395","1",3,1,2,16.7,"0","1",1,"Q3"
"396","0",3,0,2,7.7958,"0","1",0,"Q1"
"397","0",3,1,2,7.8542,"0","2",0,"Q1"
"398","0",2,0,3,26,"0","1",0,"Q3"
"399","0",2,0,2,10.5,"0","5",0,"Q2"
"400","1",2,1,2,12.65,"0","1",0,"Q2"
"401","1",3,0,3,7.925,"0","1",0,"Q2"
"402","0",3,0,2,8.05,"0","1",0,"Q2"
"403","0",3,1,2,9.825,"0","2",1,"Q2"
"404","0",3,0,2,15.85,"0","1",1,"Q3"
"405","0",3,1,2,8.6625,"0","2",0,"Q2"
"406","0",2,0,3,21,"0","1",1,"Q3"
"407","0",3,0,4,7.75,"0","1",0,"Q1"
"408","1",2,0,1,18.75,"0","4",1,"Q3"
"409","0",3,0,2,7.775,"0","1",0,"Q1"
"410","0",3,1,2,25.4667,"0","2",1,"Q3"
"411","0",3,0,2,7.8958,"0","1",0,"Q1"
"412","0",3,0,2,6.8583,"2","1",0,"Q1"
"413","1",1,1,3,90,"2","2",1,"Q4"
"414","0",2,0,2,0,"0","1",0,"Q1"
"415","1",3,0,3,7.925,"0","1",0,"Q2"
"416","0",3,1,2,8.05,"0","1",0,"Q2"
"417","1",2,1,3,32.5,"0","5",1,"Q4"
"418","1",2,1,2,13,"0","2",1,"Q2"
"419","0",2,0,2,13,"0","1",0,"Q2"
"420","0",3,1,1,24.15,"0","2",1,"Q3"
"421","0",3,0,2,7.8958,"1","1",0,"Q1"
"422","0",3,0,2,7.7333,"2","1",0,"Q1"
"423","0",3,0,2,7.875,"0","1",0,"Q1"
"424","0",3,1,2,14.4,"0","1",1,"Q2"
"425","0",3,0,2,20.2125,"0","1",1,"Q3"
"426","0",3,0,2,7.25,"0","1",0,"Q1"
"427","1",2,1,2,26,"0","1",1,"Q3"
"428","1",2,1,2,26,"0","2",0,"Q3"
"429","0",3,0,2,7.75,"2","1",0,"Q1"
"430","1",3,0,3,8.05,"0","1",0,"Q2"
"431","1",1,0,2,26.55,"0","1",0,"Q3"
"432","1",3,1,2,16.1,"0","1",1,"Q3"
"433","1",2,1,3,26,"0","1",1,"Q3"
"434","0",3,0,2,7.125,"0","1",0,"Q1"
"435","0",1,0,4,55.9,"0","1",1,"Q4"
"436","1",1,1,1,120,"0","2",1,"Q4"
"437","0",3,1,2,34.375,"0","2",1,"Q4"
"438","1",2,1,2,18.75,"0","1",1,"Q3"
"439","0",1,0,5,263,"0","1",1,"Q4"
"440","0",2,0,2,10.5,"0","1",0,"Q2"
"441","1",2,1,3,26.25,"0","1",1,"Q3"
"442","0",3,0,2,9.5,"0","1",0,"Q2"
"443","0",3,0,2,7.775,"0","1",1,"Q1"
"444","1",2,1,2,13,"0","2",0,"Q2"
"445","1",3,0,2,8.1125,"0","1",0,"Q2"
"446","1",1,0,1,81.8583,"0","4",1,"Q4"
"447","1",2,1,1,19.5,"0","2",1,"Q3"
"448","1",1,0,3,26.55,"0","1",0,"Q3"
"449","1",3,1,1,19.2583,"1","2",1,"Q3"
"450","1",1,0,4,30.5,"0","5",0,"Q3"
"451","0",2,0,3,27.75,"0","1",1,"Q3"
"452","0",3,0,2,19.9667,"0","1",1,"Q3"
"453","0",1,0,2,27.75,"1","1",0,"Q3"
"454","1",1,0,4,89.1042,"1","1",1,"Q4"
"455","0",3,0,2,8.05,"0","1",0,"Q2"
"456","1",3,0,2,7.8958,"1","1",0,"Q1"
"457","0",1,0,5,26.55,"0","1",0,"Q3"
"458","1",1,1,3,51.8625,"0","1",1,"Q4"
"459","1",2,1,4,10.5,"0","2",0,"Q2"
"460","0",3,0,2,7.75,"2","1",0,"Q1"
"461","1",1,0,4,26.55,"0","1",0,"Q3"
"462","0",3,0,3,8.05,"0","1",0,"Q2"
"463","0",1,0,3,38.5,"0","1",0,"Q4"
"464","0",2,0,4,13,"0","1",0,"Q2"
"465","0",3,0,2,8.05,"0","1",0,"Q2"
"466","0",3,0,3,7.05,"0","1",0,"Q1"
"467","0",2,0,2,0,"0","1",0,"Q1"
"468","0",1,0,4,26.55,"0","1",0,"Q3"
"469","0",3,0,2,7.725,"2","1",0,"Q1"
"470","1",3,1,1,19.2583,"1","2",1,"Q3"
"471","0",3,0,2,7.25,"0","1",0,"Q1"
"472","0",3,0,3,8.6625,"0","1",0,"Q2"
"473","1",2,1,3,27.75,"0","1",1,"Q3"
"474","1",2,1,2,13.7917,"1","1",0,"Q2"
"475","0",3,1,2,9.8375,"0","2",0,"Q2"
"476","0",1,0,3,52,"0","1",0,"Q4"
"477","0",2,0,3,21,"0","1",1,"Q3"
"478","0",3,0,2,7.0458,"0","1",1,"Q1"
"479","0",3,0,2,7.5208,"0","1",0,"Q1"
"480","1",3,1,1,12.2875,"0","2",1,"Q2"
"481","0",3,0,1,46.9,"0","4",1,"Q4"
"482","0",2,0,2,0,"0","1",0,"Q1"
"483","0",3,0,4,8.05,"0","1",0,"Q2"
"484","1",3,1,4,9.5875,"0","1",0,"Q2"
"485","1",1,0,2,91.0792,"1","1",1,"Q4"
"486","0",3,1,2,25.4667,"0","2",1,"Q3"
"487","1",1,1,3,90,"0","1",1,"Q4"
"488","0",1,0,4,29.7,"1","1",0,"Q3"
"489","0",3,0,2,8.05,"0","1",0,"Q2"
"490","1",3,0,1,15.9,"0","4",1,"Q3"
"491","0",3,0,2,19.9667,"0","1",1,"Q3"
"492","0",3,0,2,7.25,"0","1",0,"Q1"
"493","0",1,0,4,30.5,"0","1",0,"Q3"
"494","0",1,0,5,49.5042,"1","1",0,"Q4"
"495","0",3,0,2,8.05,"0","1",0,"Q2"
"496","0",3,0,2,14.4583,"1","1",0,"Q3"
"497","1",1,1,4,78.2667,"1","2",1,"Q4"
